Biomolecule,Molecule Number,E,S,V,U,R,Q,M
Methionine,1,0.039564,6.4679508713673,1,2,19.4038526141019,0,131.18220
Glycine,2,0.096470,4.69511024039841,1,2,14.0853307211952,0,57.04220
Lysine,3,0.019117,6.67134052403986,1,2,20.0140215721196,0.75,128.18260
Threonine,4,0.030758,5.88906157480486,1,2,17.6671847244146,0,101.08630
Arginine,5,0.089916,6.83905104241695,1,2,20.5171531272509,0.75,156.17880
Alanine,6,0.049480,5.27007355024339,1,2,15.8102206507302,0,71.07034
Aspartic acid,7,0.079096,5.82352172106031,1,2,17.4705651631809,-0.75,115.08440
Glutamic acid,8,0.085622,6.1776703156509,1,2,18.5330109469527,-0.75,129.08250
Tyrosine,9,0.419186,6.73363402825308,1,2,20.2009020847592,0,163.17780
Valine,10,0.005578,6.26599928628882,1,2,18.7979978588664,0,99.05650
Leucine,11,0.010998,6.53407242179841,1,2,19.6022172653952,0,113.18460
Glutamine,12,0.200448,6.27785087422941,1,2,18.8335526226882,0,128.08260
Tryptophan,13,0.550297,7.06654796174627,1,2,21.1996438852388,0,186.17470
Phenylalanine,14,0.391642,6.62954939641089,1,2,19.8886481892327,0,147.18000
Serine,15,0.061600,5.41266970411579,1,2,16.2380091123474,0,87.06820
Histidine,16,0.027216,6.33778240391205,1,2,19.0133472117361,0.375,137.08140
Asparagine,17,0.193849,5.92334912427888,1,2,17.7700473728366,0,114.08450
Proline,18,0.078677,5.80615515059838,1,2,17.4184654517951,0,97.10680
Cysteine,19,0.069311,5.72436278750479,1,2,17.1730883625144,0,103.08450
Isoleucine,20,0.000395,6.92168008917675,1,11,20.7650402675302,0,113.18460
Adenine,21,0.512000,8.440000,1,3,25.320000,-0.75,329.2
Cytosine,22,0.335000,8.220000,1,3,24.660000,-0.75,305.2
Guanine,23,0.516000,8.510000,1,3,25.530000,-0.75,345.2
Uracil,24,0.305000,8.170000,1,3,24.510000,-0.75,306.2
